Country,Population
Afghanistan,40000360.0
Albania,2849591.0
Algeria,44761051.0
Andorra,78328.0
Angola,34532382.0
Anguilla,14458.0
Antigua And Barbuda,92316.0
Argentina,45312226.0
Armenia,2870293.0
Aruba,107524.0
Australia,25956358.0
Austria,8967006.0
Azerbaijan,10234332.0
Bahamas,396326.0
Bahrain,1501708.0
Bangladesh,167658798.0
Barbados,282111.0
Belarus,9251315.0
Belgium,11570794.0
Belize,395312.0
Benin,13413371.0
Bermuda,64622.0
Bhutan,775407.0
Bolivia,11937318.0
Bonaire Sint Eustatius And Saba,27302.0
Bosnia And Herzegovina,3244869.0
Botswana,2401410.0
Brazil,209550238.0
British Virgin Islands,37790.0
Brunei,451676.0
Bulgaria,6877173.0
Burkina Faso,21995205.0
Burundi,12965439.0
Cabo Verde,516610.0
Cambodia,16974258.0
Cameroon,26915707.0
Canada,38454011.0
Cayman Islands,70080.0
Chad,17828225.0
Chile,19456275.0
China,1426437224.0
Colombia,51188120.0
Comoros,818133.0
Congo,5892137.0
Cook Islands,15158.0
Costa Rica,5059939.0
Croatia,3924558.0
Cuba,11122126.0
Curaçao,185279.0
Cyprus,1317269.0
Czech Republic (Czechia),10530619.0
Côte D'Ivoire,29639680.0
Denmark,5856724.0
Djibouti,1121203.0
Dominica,67176.0
Dominican Republic,11123434.0
Dr Congo,99148879.0
Ecuador,17682398.0
Egypt,110956950.0
El Salvador,6255737.0
Equatorial Guinea,1758752.0
Eritrea,3350142.0
Estonia,1331699.0
Eswatini,1206548.0
Ethiopia,122138537.0
Falkland Islands,3488.0
Faroe Islands,53286.0
Fiji,916669.0
Finland,5541019.0
France,66083491.0
French Guiana,292970.0
French Polynesia,279769.0
Gabon,2376684.0
Gambia,2575965.0
Georgia,3788400.0
Germany,83697031.0
Ghana,32518607.0
Gibraltar,36824.0
Greece,10579511.0
Greenland,56026.0
Grenada,116645.0
Guadeloupe,399107.0
Guam,163693.0
Guatemala,17598598.0
Guernsey,63398.0
Guinea,13710470.0
Guinea-Bissau,2058795.0
Guyana,815445.0
Haiti,11374546.0
Honduras,10289829.0
Hong Kong,7484547.0
Hungary,9707794.0
Iceland,372597.0
India,1414203840.0
Indonesia,276758010.0
Iran,88455443.0
Iraq,43071162.0
Ireland,5028387.0
Isle Of Man,84072.0
Israel,8942868.0
Italy,59729300.0
Jamaica,2837634.0
Japan,125679288.0
Jersey,103293.0
Jordan,11066310.0
Kazakhstan,19743565.0
Kenya,53219122.0
Kiribati,128346.0
Kosovo,1741407.0
Kuwait,4360703.0
Kyrgyzstan,6820433.0
Laos,7453143.0
Latvia,1885546.0
Lebanon,5718083.0
Lesotho,2261496.0
Liberia,5259278.0
Libya,7135138.0
Liechtenstein,39018.0
Lithuania,2794443.0
Luxembourg,640233.0
Macao,694363.0
Madagascar,29691033.0
Malawi,20047218.0
Malaysia,34282367.0
Maldives,516123.0
Mali,22388587.0
Malta,524335.0
Marshall Islands,41346.0
Martinique,353243.0
Mauritania,4734824.0
Mauritius,1279587.0
Mayotte,294385.0
Mexico,127648107.0
Micronesia,111589.0
Moldova,3023731.0
Monaco,38502.0
Mongolia,3339627.0
Montenegro,603805.0
Montserrat,4472.0
Morocco,36954394.0
Mozambique,31707757.0
Myanmar,53387059.0
Namibia,2810509.0
Nauru,11687.0
Nepal,29474963.0
Netherlands,17730519.0
New Caledonia,285177.0
New Zealand,5107644.0
Nicaragua,6644688.0
Niger,24502100.0
Nigeria,218529237.0
Niue,1799.0
North Korea,26232476.0
North Macedonia,1851059.0
Northern Mariana Islands,46959.0
Norway,5408030.0
Oceania,44557503.0
Oman,4500378.0
Pakistan,239477758.0
Palau,17777.0
Panama,4345360.0
Papua New Guinea,10012849.0
Paraguay,6684130.0
Peru,33155845.0
Philippines,113100906.0
Poland,38040252.0
Portugal,10390906.0
Puerto Rico,3253158.0
Qatar,2814939.0
Romania,19248115.0
Russia,145836117.0
Rwanda,13355214.0
Réunion,868026.0
Saint Barthelemy,10749.0
Saint Helena,5378.0
Saint Kitts And Nevis,46738.0
Saint Lucia,178489.0
Saint Martin (French Part),29934.0
Saint Pierre And Miquelon,5757.0
Samoa,213745.0
San Marino,34546.0
Sao Tome & Principe,221926.0
Saudi Arabia,31328320.0
Senegal,17220821.0
Serbia,6835386.0
Seychelles,122951.0
Sierra Leone,8094551.0
Singapore,5546240.0
Sint Maarten (Dutch Part),41546.0
Slovakia,5442712.0
Slovenia,2113450.0
Solomon Islands,762546.0
Somalia,17271386.0
South Korea,51848358.0
South Sudan,10865735.0
Spain,47735610.0
Sri Lanka,22700326.0
St. Vincent & Grenadines,102797.0
State Of Palestine,5185289.0
Sudan,48066876.0
Suriname,617863.0
Svalbard And Jan Mayen,2400.0
Sweden,10416075.0
Switzerland,8706973.0
Syria,21628791.0
Taiwan,23558281.0
Tajikistan,9966868.0
Tanzania,62830365.0
Thailand,71727293.0
Timor-Leste,1350102.0
Togo,8878342.0
Tokelau,2193.0
Tonga,105450.0
Trinidad And Tobago,1487659.0
Tunisia,12048573.0
