Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,Population
Afghanistan,66.5,68.1,64.9,26.7,11704638,67,2144.1665,85767431899.93999,40000360.0
Albania,80.0,81.7,78.1,70.3,1948831,101,16353.809,46601666942.118996,2849591.0
Algeria,76.7,78.1,75.3,74.4,35291973,20,14496.865,648894913605.115,44761051.0
Angola,65.0,67.5,62.4,68.8,26847887,31,7408.1265,255820254202.323,34532382.0
Antigua And Barbuda,77.9,80.6,74.9,28.5,26823,214,25733.295,2375594861.22,92316.0
Argentina,77.7,80.2,75.1,96.0,44010474,17,26300.273,1191723914037.698,45312226.0
Armenia,76.0,79.7,71.8,63.8,1882155,104,15921.705,45699958409.565,2870293.0
Aruba,76.6,79.1,74.0,44.7,48340,601,35696.31,3838210036.4399996,107524.0
Australia,84.2,86.0,82.4,86.5,23335357,4,57321.562,1487858984391.196,25956358.0
Austria,82.3,84.6,80.0,58.6,5337973,111,63576.242,570088543471.452,8967006.0
Azerbaijan,74.7,77.4,71.9,58.7,6101378,126,20111.375,205826488726.5,10234332.0
Bahamas,74.9,78.5,71.2,88.4,356391,40,29340.473,11628392302.198,396326.0
Bahrain,81.6,82.3,81.0,0.0,0,2162,54954.676,82525876586.608,1501708.0
Bangladesh,75.2,76.9,73.6,42.6,74837709,1350,7441.0693,1247560734672.7014,167658798.0
Barbados,76.5,78.9,73.9,32.5,91766,657,15683.885,4424596481.235,282111.0
Belarus,74.8,79.4,69.9,84.4,7589573,44,27611.18,255439723701.7,9251315.0
Belgium,82.4,84.6,80.3,98.8,11613585,388,61873.965,715930902978.21,11570794.0
Belize,73.9,76.8,71.2,48.6,205478,19,11677.461,4616240462.832,395312.0
Benin,61.1,62.6,59.7,47.8,7076087,131,3464.2886,46467788242.8706,13413371.0
Bhutan,73.5,75.6,71.8,50.3,400623,21,13458.8125,10436057424.1875,775407.0
Bolivia,68.9,71.5,66.4,70.6,8887268,12,9454.198,112857767960.964,11937318.0
